iter	Passed	Remaining
893	63441	184930
894	63536	184929
895	63604	184850
896	63694	184835
897	63768	184773
898	63846	184721
899	63955	184761
900	64015	184655
901	64071	184542
902	64145	184481
903	64195	184350
904	64242	184209
905	64300	184101
906	64389	184080
907	64459	184009
908	64540	183966
909	64597	183855
910	64717	183923
911	64791	183858
912	64837	183717
913	64896	183613
914	64989	183603
915	65071	183563
916	65149	183512
917	65220	183441
918	65297	183386
919	65367	183312
920	65418	183185
921	65491	183120
922	65554	183026
923	65620	182942
924	65704	182906
925	65809	182931
926	65869	182829
927	65916	182691
928	65995	182642
929	66069	182577
930	66145	182522
931	66185	182366
932	66236	182237
933	66306	182165
934	66346	182010
935	66427	181966
936	66513	181937
937	66575	181840
938	66659	181806
939	66704	181664
940	66743	181506
941	66794	181379
942	66845	181256
943	66888	181110
944	66933	180968
945	66982	180838
946	67032	180710
947	67086	180596
948	67131	180456
949	67194	180364
950	67253	180261
951	67292	180106
952	67337	179965
953	67403	179882
954	67450	179751
955	67508	179645
956	67579	179577
957	67623	179435
958	67675	179315
959	67709	179147
960	67759	179024
961	67826	178944
962	67871	178806
963	67944	178742
964	68000	178634
965	68040	178482
966	68089	178355
967	68148	178256
968	68214	178174
969	68280	178092
970	68334	177978
971	68389	177868
972	68458	177795
973	68496	177640
974	68562	177558
975	68619	177454
976	68688	177381
977	68743	177270
978	68826	177234
979	68885	177134
980	68949	177046
981	69051	177058
982	69094	176917
983	69157	176828
984	69210	176714
985	69274	176627
986	69298	176441
987	69371	176378
988	69452	176335
989	69528	176279
990	69638	176310
991	69695	176207
992	69754	176108
993	69803	175983
994	69853	175861
995	69903	175742
996	69972	175667
997	70080	175694
998	70127	175563
999	70188	175472
1000	70223	175313
1001	70272	175191
1002	70328	175084
1003	70360	174920
1004	70418	174820
1005	70469	174702
1006	70510	174559
1007	70561	174444
1008	70646	174410
1009	70699	174299
1010	70761	174208
1011	70819	174110
1012	70867	173986
1013	70976	174012
1014	71057	173967
1015	71109	173855
1016	71181	173790
1017	71219	173641
1018	71262	173506
1019	71299	173354
1020	71349	173238
1021	71392	173102
1022	71468	173047
1023	71505	172897
1024	71539	172741
1025	71598	172644
1026	71695	172642
1027	71730	172487
1028	71770	172347
1029	71797	172175
1030	71831	172018
1031	71870	171876
1032	71977	171896
1033	72029	171784
1034	72078	171664
1035	72134	171562
1036	72203	171492
1037	72255	171381
1038	72301	171255
1039	72350	171137
1040	72454	171148
1041	72542	171122
1042	72601	171027
1043	72661	170936
1044	72748	170907
1045	72798	170790
1046	72869	170723
1047	72910	170587
1048	72970	170496
1049	73039	170426
1050	73100	170335
1051	73170	170266
1052	73210	170129
1053	73271	170040
1054	73337	169962
1055	73367	169801
1056	73405	169660
1057	73464	169565
1058	73502	169424
1059	73546	169296
1060	73584	169153
1061	73618	169003
1062	73674	168904
1063	73723	168787
1064	73767	168661
1065	73813	168538
1066	73888	168482
1067	73964	168429
1068	74029	168349
1069	74086	168253
1070	74142	168154
1071	74205	168070
1072	74234	167908
1073	74289	167808
1074	74345	167710
1075	74428	167671
1076	74460	167519
1077	74510	167407
1078	74573	167324
1079	74618	167200
1080	74677	167108
1081	74721	166983
1082	74765	166858
1083	74814	166744
1084	74868	166643
1085	74940	166580
1086	74982	166452
1087	75098	166486
1088	75169	166421
1089	75236	166348
1090	75324	166320
1091	75375	166212
1092	75435	166124
1093	75502	166051
1094	75566	165969
1095	75630	165889
1096	75667	165751
1097	75713	165632
1098	75758	165510
1099	75807	165397
1100	75855	165284
1101	75905	165173
1102	75949	165051
1103	76007	164957
1104	76075	164888
1105	76162	164857
1106	76216	164756
1107	76256	164625
1108	76281	164462
1109	76328	164346
1110	76369	164217
1111	76434	164141
1112	76464	163990
1113	76506	163863
1114	76543	163727
1115	76606	163646
1116	76641	163507
1117	76702	163421
1118	76739	163286
1119	76778	163153
1120	76823	163036
1121	76913	163012
1122	76955	162887
1123	76997	162762
1124	77025	162610
1125	77057	162464
1126	77117	162378
1127	77173	162283
1128	77219	162168
1129	77263	162047
1130	77303	161920
1131	77366	161841
1132	77396	161693
1133	77465	161624
1134	77513	161514
1135	77549	161380
1136	77609	161293
1137	77662	161194
1138	77706	161076
1139	77778	161014
1140	77841	160935
1141	77870	160786
1142	77929	160700
1143	77981	160598
1144	78032	160495
1145	78083	160391
1146	78157	160335
1147	78200	160216
1148	78243	160097
1149	78310	160025
1150	78387	159976
1151	78491	159980
1152	78567	159927
1153	78634	159859
1154	78699	159784
1155	78753	159686
1156	78805	159585
1157	78843	159457
1158	78912	159391
1159	78953	159267
1160	78996	159149
1161	79041	159035
1162	79117	158984
1163	79145	158835
1164	79209	158758
1165	79249	158635
1166	79339	158611
1167	79398	158524
1168	79461	158447
1169	79528	158376
1170	79574	158265
1171	79620	158154
1172	79666	158042
1173	79719	157944
1174	79744	157792
1175	79777	157655
1176	79813	157525
1177	79862	157419
1178	79923	157339
1179	79975	157239
1180	80021	157130
1181	80071	157026
1182	80108	156898
1183	80165	156809
1184	80225	156728
1185	80295	156664
1186	80357	156586
1187	80403	156475
1188	80448	156362
1189	80486	156238
1190	80515	156095
1191	80570	156004
1192	80608	155878
1193	80646	155755
1194	80692	155644
1195	80741	155541
1196	80787	155433
1197	80831	155320
1198	80884	155225
1199	80947	155149
1200	80979	155013
1201	81016	154888
1202	81078	154810
1203	81146	154744
1204	81185	154622
1205	81261	154572
1206	81311	154470
1207	81339	154329
1208	81393	154237
1209	81453	154156
1210	81514	154076
1211	81561	153970
1212	81606	153862
1213	81670	153788
1214	81728	153702
1215	81779	153605
1216	81838	153523
1217	81913	153469
1218	81974	153391
1219	82019	153282
1220	82056	153159
1221	82094	153036
1222	82121	152894
1223	82198	152846
1224	82249	152749
1225	82307	152664
1226	82343	152539
1227	82385	152426
1228	82452	152359
1229	82532	152316
1230	82572	152199
1231	82625	152105
1232	82671	152000
1233	82730	151919
1234	82783	151826
1235	82820	151704
1236	82899	151658
1237	82976	151609
1238	83033	151525
1239	83097	151452
1240	83162	151381
1241	83208	151275
1242	83265	151191
1243	83327	151115
1244	83381	151024
1245	83432	150927
1246	83476	150819
1247	83516	150705
1248	83593	150654
1249	83645	150562
1250	83730	150527
1251	83803	150470
1252	83850	150369
1253	83918	150304
1254	83972	150213
1255	84037	150142
1256	84101	150070
1257	84163	149994
1258	84213	149898
1259	84259	149794
1260	84334	149742
1261	84428	149722
1262	84486	149640
1263	84576	149615
1264	84645	149551
1265	84706	149473
1266	84748	149363
1267	84789	149251
1268	84843	149161
1269	84886	149052
1270	84952	148984
1271	84994	148874
1272	85056	148798
1273	85079	148655
1274	85120	148543
1275	85187	148477
1276	85229	148368
1277	85294	148296
1278	85341	148196
1279	85401	148118
1280	85483	148078
1281	85519	147958
1282	85579	147879
1283	85626	147779
1284	85721	147761
1285	85802	147719
1286	85854	147626
1287	85879	147489
1288	85939	147409
1289	85990	147317
1290	86038	147217
1291	86086	147119
1292	86172	147086
1293	86238	147019
1294	86294	146934
1295	86342	146835
1296	86406	146765
1297	86448	146655
1298	86491	146548
1299	86553	146474
1300	86619	146407
1301	86673	146319
1302	86752	146273
1303	86825	146218
1304	86898	146162
1305	86962	146091
1306	87011	145995
1307	87054	145888
1308	87121	145823
1309	87183	145749
1310	87244	145673
1311	87318	145619
1312	87386	145555
1313	87448	145481
1314	87487	145368
1315	87550	145295
1316	87597	145196
1317	87647	145104
1318	87704	145021
1319	87769	144952
1320	87855	144917
1321	87911	144834
1322	87961	144741
1323	88038	144692
1324	88086	144594
1325	88156	144534
1326	88226	144474
1327	88326	144461
1328	88395	144399
1329	88482	144366
1330	88532	144273
1331	88605	144216
1332	88662	144135
1333	88718	144050
1334	88778	143973
1335	88890	143980
1336	88953	143909
1337	88997	143806
1338	89062	143737
1339	89130	143673
1340	89201	143613
1341	89280	143566
1342	89355	143514
1343	89431	143462
1344	89469	143351
1345	89534	143282
1346	89589	143196
1347	89660	143136
1348	89710	143045
1349	89778	142980
1350	89832	142893
1351	89886	142807
1352	89936	142714
1353	89977	142608
1354	90014	142494
1355	90056	142389
1356	90109	142302
1357	90182	142245
1358	90264	142204
1359	90332	142140
1360	90385	142054
1361	90466	142010
1362	90550	141971
1363	90621	141912
1364	90690	141849
1365	90771	141806
1366	90818	141708
1367	90982	141793
