id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,Subscribed
47,56,blue-collar,divorced,primary,no,7396,yes,no,cellular,19,nov,115,2,-1,0,unknown,0
48,46,services,married,secondary,no,273,no,no,cellular,22,aug,565,2,-1,0,unknown,1
49,30,management,single,secondary,no,4642,yes,no,cellular,21,nov,528,1,-1,0,unknown,1
50,27,blue-collar,married,primary,no,416,yes,no,unknown,30,may,1193,2,-1,0,unknown,1
51,44,management,married,unknown,no,21,no,no,cellular,24,aug,323,2,-1,0,unknown,0
52,39,technician,married,secondary,no,-72,yes,no,unknown,26,may,207,2,-1,0,unknown,0
53,35,management,married,tertiary,no,0,no,no,cellular,17,jul,127,5,-1,0,unknown,0
54,40,management,married,tertiary,no,432,yes,yes,cellular,2,feb,101,1,-1,0,unknown,0
55,54,technician,married,secondary,no,2102,yes,no,cellular,5,apr,547,1,626,2,failure,1
56,33,blue-collar,single,secondary,no,-84,no,no,cellular,10,jul,506,3,-1,0,unknown,0
57,36,management,divorced,tertiary,yes,36,no,no,cellular,6,aug,836,4,-1,0,unknown,1
58,39,blue-collar,married,secondary,no,10005,yes,no,cellular,31,jul,241,4,-1,0,unknown,0
59,35,management,single,tertiary,no,3544,yes,no,cellular,8,jun,380,1,-1,0,unknown,1
60,33,management,divorced,tertiary,no,2885,no,no,cellular,5,aug,1051,2,-1,0,unknown,1
61,39,management,single,tertiary,no,3840,yes,no,cellular,11,aug,315,2,-1,0,unknown,1
62,30,blue-collar,married,secondary,no,294,yes,yes,unknown,16,jun,50,3,-1,0,unknown,0
63,38,self-employed,married,tertiary,no,3139,yes,no,cellular,18,nov,177,2,-1,0,unknown,0
64,63,retired,married,primary,no,12067,no,no,telephone,29,apr,660,1,191,1,failure,1
65,61,retired,divorced,secondary,no,4243,no,no,cellular,30,apr,315,1,182,2,success,1
66,43,blue-collar,married,primary,no,250,yes,no,cellular,12,may,144,5,342,16,failure,0
67,50,management,married,tertiary,no,253,no,no,cellular,28,may,513,9,-1,0,unknown,1
68,46,management,married,tertiary,no,37378,yes,no,cellular,14,oct,146,1,518,1,failure,0
69,34,admin.,single,secondary,no,4436,yes,no,cellular,20,nov,292,2,178,6,failure,0
70,33,admin.,divorced,tertiary,no,891,no,no,cellular,8,may,398,2,-1,0,unknown,1
71,50,management,married,tertiary,no,1174,yes,no,cellular,7,may,128,2,-1,0,unknown,0
72,45,admin.,married,secondary,no,925,no,no,cellular,6,aug,406,2,-1,0,unknown,1
73,43,blue-collar,married,secondary,yes,-504,yes,no,unknown,28,may,136,1,-1,0,unknown,0
74,25,blue-collar,single,secondary,no,1243,no,yes,cellular,10,jul,1341,7,-1,0,unknown,1
75,25,management,single,tertiary,no,3,yes,yes,cellular,16,apr,1034,1,-1,0,unknown,1
76,33,management,single,tertiary,no,373,no,yes,cellular,28,jan,169,3,93,1,failure,0
77,37,blue-collar,married,secondary,no,125,no,no,unknown,26,may,679,2,-1,0,unknown,1
78,51,management,divorced,tertiary,no,0,no,yes,cellular,22,jul,176,4,-1,0,unknown,0
79,47,technician,divorced,tertiary,no,694,yes,no,cellular,11,may,1001,4,-1,0,unknown,0
80,42,technician,divorced,secondary,no,214,no,no,cellular,16,apr,127,1,-1,0,unknown,1
81,57,technician,married,unknown,no,206,yes,no,unknown,5,may,216,3,-1,0,unknown,0
82,39,technician,married,tertiary,no,0,yes,no,cellular,14,jul,894,7,-1,0,unknown,1
83,59,entrepreneur,married,tertiary,no,712,yes,no,unknown,11,jun,109,1,-1,0,unknown,0
84,33,blue-collar,married,secondary,no,331,yes,no,cellular,14,may,178,7,365,5,other,0
85,59,unemployed,divorced,secondary,no,2921,no,no,telephone,3,feb,251,1,-1,0,unknown,0
86,32,management,single,tertiary,no,311,no,no,unknown,12,may,757,2,-1,0,unknown,1
87,22,blue-collar,single,secondary,no,682,no,no,cellular,5,jun,126,2,91,1,success,1
88,37,unemployed,married,secondary,no,1978,no,no,cellular,11,mar,335,1,-1,0,unknown,1
89,34,entrepreneur,married,primary,no,0,yes,no,cellular,21,jul,132,3,-1,0,unknown,0
90,51,admin.,married,secondary,no,907,yes,no,telephone,21,jul,722,3,-1,0,unknown,0
91,41,technician,married,secondary,no,128,yes,no,cellular,27,aug,100,2,-1,0,unknown,0
92,39,admin.,married,secondary,no,104,yes,no,unknown,6,may,412,1,-1,0,unknown,0
93,31,admin.,single,tertiary,no,383,no,yes,cellular,7,jul,305,1,-1,0,unknown,0
94,32,technician,married,secondary,no,696,yes,no,unknown,2,jun,815,1,-1,0,unknown,1
95,45,unemployed,married,secondary,no,891,yes,no,unknown,7,jan,118,1,-1,0,unknown,1
96,35,management,married,tertiary,no,775,no,no,unknown,27,jul,9,1,-1,0,unknown,0
97,30,technician,single,secondary,no,782,yes,yes,cellular,20,nov,462,4,-1,0,unknown,0
98,69,technician,married,secondary,no,2661,no,no,cellular,1,sep,925,1,187,3,other,0
99,44,self-employed,married,secondary,no,335,no,no,cellular,2,feb,105,1,-1,0,unknown,0
100,36,management,married,tertiary,no,86,yes,no,cellular,3,sep,104,1,380,3,failure,0
101,39,blue-collar,married,primary,no,70,no,no,unknown,8,may,813,1,-1,0,unknown,1
102,35,management,single,tertiary,no,643,yes,no,unknown,23,may,322,1,-1,0,unknown,0
103,42,blue-collar,single,primary,no,156,yes,no,telephone,15,may,7,4,371,5,failure,0
104,31,blue-collar,married,secondary,no,489,yes,no,unknown,23,may,204,4,-1,0,unknown,0
105,55,services,married,secondary,no,186,yes,yes,unknown,9,may,241,1,-1,0,unknown,0
106,53,blue-collar,married,primary,yes,-462,no,no,cellular,29,jan,470,1,-1,0,unknown,1
107,43,technician,married,tertiary,no,0,no,no,cellular,4,aug,1488,2,-1,0,unknown,1
108,31,admin.,single,secondary,no,5527,yes,no,unknown,21,may,132,1,-1,0,unknown,0
109,32,management,single,tertiary,no,5167,no,no,cellular,26,aug,10,18,-1,0,unknown,0
110,46,management,married,primary,no,3229,yes,no,cellular,20,apr,1550,1,-1,0,unknown,1
111,39,blue-collar,married,primary,no,4166,no,no,unknown,16,jun,314,3,-1,0,unknown,0
112,32,admin.,married,tertiary,no,233,yes,no,cellular,2,apr,77,2,133,4,failure,0
113,48,blue-collar,married,secondary,no,-6,yes,no,unknown,3,jun,161,1,-1,0,unknown,0
114,44,admin.,divorced,secondary,no,0,no,no,cellular,14,apr,1594,1,148,1,failure,1
115,40,blue-collar,married,primary,no,7831,yes,no,unknown,14,may,78,1,-1,0,unknown,0
116,49,entrepreneur,married,secondary,no,687,no,no,cellular,18,aug,65,6,-1,0,unknown,0
117,52,blue-collar,divorced,primary,no,528,no,no,cellular,4,feb,307,1,-1,0,unknown,0
118,36,management,single,tertiary,no,5958,yes,no,cellular,22,sep,155,1,184,1,success,1
119,36,management,married,secondary,no,565,no,no,cellular,27,mar,300,1,-1,0,unknown,1
120,53,management,married,primary,no,2096,no,no,unknown,9,jun,104,1,-1,0,unknown,0
121,31,blue-collar,married,secondary,no,23,no,yes,cellular,6,feb,384,5,-1,0,unknown,0
122,32,services,married,secondary,no,252,yes,yes,cellular,25,jul,148,4,-1,0,unknown,0
123,48,management,divorced,tertiary,no,84,yes,no,cellular,8,may,14,5,364,5,failure,0
124,46,technician,divorced,secondary,yes,-11,no,no,cellular,11,aug,139,2,-1,0,unknown,0
125,29,management,single,tertiary,no,437,no,no,cellular,5,aug,504,1,92,1,success,1
126,37,services,single,secondary,no,934,yes,no,unknown,16,may,242,3,-1,0,unknown,0
127,56,services,single,secondary,no,-40,yes,no,cellular,15,may,311,1,368,2,failure,1
128,34,services,married,secondary,no,135,yes,no,cellular,18,nov,109,1,-1,0,unknown,0
129,44,services,married,secondary,yes,-146,yes,no,cellular,11,jul,256,2,-1,0,unknown,0
130,37,unemployed,married,secondary,no,1978,no,no,cellular,9,sep,404,1,182,1,success,1
131,56,technician,married,secondary,no,1093,no,no,cellular,7,aug,89,4,-1,0,unknown,0
132,73,retired,single,secondary,no,1050,no,no,cellular,4,mar,562,3,181,2,failure,1
133,58,services,divorced,secondary,no,462,no,no,cellular,13,nov,495,1,93,1,success,1
134,54,unemployed,divorced,secondary,no,6745,no,no,cellular,2,feb,39,1,-1,0,unknown,0
135,51,blue-collar,married,primary,no,1126,yes,no,cellular,17,apr,326,3,-1,0,unknown,0
136,48,management,single,tertiary,no,3713,yes,yes,cellular,18,nov,157,2,-1,0,unknown,0
137,47,management,married,tertiary,no,288,no,no,cellular,31,mar,193,1,181,1,success,1
138,25,services,single,secondary,no,-61,yes,no,unknown,21,may,203,2,-1,0,unknown,0
139,30,services,single,secondary,no,140,yes,no,cellular,15,may,760,1,-1,0,unknown,1
140,50,technician,married,secondary,no,-70,no,no,cellular,6,aug,386,2,-1,0,unknown,0
141,77,retired,married,secondary,no,4112,no,no,telephone,26,jan,1616,1,95,2,success,1
142,59,unemployed,married,secondary,no,1226,no,no,cellular,6,feb,270,3,-1,0,unknown,0
143,43,technician,married,secondary,no,-260,yes,no,cellular,11,jul,183,2,-1,0,unknown,0
144,33,management,single,tertiary,no,224,no,no,cellular,23,jun,342,2,107,2,success,1
145,34,blue-collar,married,primary,no,500,yes,no,unknown,20,may,324,1,-1,0,unknown,0
146,27,entrepreneur,married,tertiary,no,59,no,no,cellular,28,jul,306,6,-1,0,unknown,0
147,26,entrepreneur,married,unknown,no,345,yes,yes,cellular,21,jul,149,4,-1,0,unknown,0
148,32,management,single,tertiary,no,0,yes,no,cellular,30,apr,370,3,-1,0,unknown,1
149,21,student,single,secondary,no,224,no,no,cellular,30,apr,871,1,-1,0,unknown,1
150,59,admin.,married,secondary,no,302,no,yes,cellular,8,jul,250,2,-1,0,unknown,0
151,40,blue-collar,divorced,secondary,no,635,yes,no,cellular,13,may,122,2,-1,0,unknown,0
152,40,management,married,tertiary,no,52527,no,no,cellular,21,aug,140,11,-1,0,unknown,0
153,38,technician,married,secondary,no,54,yes,yes,cellular,5,may,236,1,287,2,failure,0
154,26,blue-collar,single,secondary,no,4751,no,no,cellular,3,feb,231,3,-1,0,unknown,0
155,33,blue-collar,married,secondary,no,93,no,no,telephone,9,feb,211,5,-1,0,unknown,0
156,41,unknown,married,primary,no,526,no,no,unknown,26,may,151,3,-1,0,unknown,0
157,39,management,divorced,unknown,no,401,no,no,unknown,6,jun,126,1,-1,0,unknown,0
158,48,blue-collar,married,primary,no,719,no,yes,cellular,11,aug,418,5,-1,0,unknown,1
159,51,technician,married,tertiary,no,0,yes,no,unknown,16,may,330,19,-1,0,unknown,0
160,58,housemaid,married,primary,no,4605,no,no,cellular,11,sep,339,1,38,1,failure,0
161,60,retired,married,secondary,no,2722,no,no,cellular,12,aug,506,2,-1,0,unknown,1
162,50,services,single,secondary,no,72,no,no,unknown,8,may,141,2,-1,0,unknown,0
163,41,student,married,secondary,no,1309,no,no,unknown,20,jun,28,4,-1,0,unknown,0
164,52,services,married,secondary,no,659,no,no,cellular,28,jan,390,4,93,1,success,1
165,40,entrepreneur,married,tertiary,no,3585,no,no,cellular,15,sep,506,3,-1,0,unknown,1
166,34,unemployed,single,secondary,no,1965,no,no,telephone,4,may,714,1,-1,0,unknown,1
167,36,technician,single,tertiary,no,97,no,no,cellular,28,aug,69,17,-1,0,unknown,0
168,34,blue-collar,married,secondary,no,808,yes,yes,cellular,17,jul,20,3,-1,0,unknown,0
169,39,management,single,tertiary,no,26,yes,no,cellular,28,jul,110,18,-1,0,unknown,0
170,55,admin.,married,secondary,no,8304,no,no,cellular,1,jun,201,1,-1,0,unknown,1
171,32,technician,single,secondary,no,0,no,no,cellular,18,aug,594,4,-1,0,unknown,1
172,31,management,single,tertiary,no,1130,yes,no,cellular,2,feb,181,1,264,3,failure,0
173,39,blue-collar,married,secondary,no,0,yes,no,unknown,6,may,262,1,-1,0,unknown,0
174,32,technician,single,secondary,no,644,yes,yes,unknown,21,may,198,1,-1,0,unknown,0
175,57,retired,married,secondary,no,1841,no,no,telephone,5,jun,302,1,-1,0,unknown,1
176,77,unknown,married,unknown,no,397,no,no,telephone,7,may,300,3,-1,0,unknown,1
177,38,technician,married,secondary,no,6728,no,no,cellular,25,nov,232,1,96,4,success,1
178,27,housemaid,single,tertiary,no,979,yes,no,cellular,7,may,272,4,357,1,other,0
179,50,blue-collar,divorced,primary,no,1545,yes,no,cellular,20,nov,25,1,-1,0,unknown,0
180,34,entrepreneur,married,secondary,no,456,yes,yes,cellular,28,aug,137,8,-1,0,unknown,0
181,34,management,married,tertiary,no,402,no,no,cellular,26,may,147,1,-1,0,unknown,0
182,53,admin.,married,secondary,no,109,no,no,telephone,2,jun,270,1,-1,0,unknown,1
183,48,technician,married,secondary,no,3069,no,no,cellular,4,aug,597,2,-1,0,unknown,0
184,34,technician,single,secondary,no,0,no,no,cellular,21,aug,163,2,-1,0,unknown,0
185,29,admin.,married,secondary,no,252,yes,no,cellular,15,may,1223,3,371,1,failure,0
186,80,retired,married,secondary,no,2354,no,no,telephone,4,aug,199,2,181,3,success,0
187,55,management,married,tertiary,no,12972,no,no,telephone,18,aug,205,1,-1,0,unknown,1
188,38,technician,divorced,tertiary,no,1425,yes,no,cellular,15,jul,347,4,-1,0,unknown,0
189,36,blue-collar,divorced,secondary,no,638,yes,no,unknown,16,jun,1395,2,-1,0,unknown,1
190,34,services,married,secondary,no,1337,no,no,cellular,12,aug,255,2,104,1,success,1
191,44,services,divorced,secondary,no,608,yes,yes,unknown,18,jun,19,30,-1,0,unknown,0
192,55,blue-collar,married,secondary,no,0,no,no,unknown,12,jun,614,2,-1,0,unknown,1
193,41,technician,married,secondary,no,2990,yes,no,unknown,30,may,62,3,-1,0,unknown,0
194,22,housemaid,single,secondary,no,1796,no,no,cellular,28,jun,369,3,-1,0,unknown,1
195,44,management,divorced,tertiary,yes,-26,no,no,cellular,22,aug,92,4,-1,0,unknown,0
196,29,blue-collar,married,secondary,no,296,yes,no,unknown,4,jun,153,1,-1,0,unknown,0
197,46,blue-collar,married,primary,no,1085,yes,yes,cellular,15,may,523,2,353,58,other,1
198,36,management,single,tertiary,no,1379,no,no,cellular,25,may,189,1,186,1,failure,1
199,36,blue-collar,married,secondary,no,1049,yes,no,cellular,14,may,224,4,-1,0,unknown,1
200,28,housemaid,single,primary,no,332,no,no,cellular,7,jul,385,1,-1,0,unknown,0
201,41,technician,married,secondary,no,0,no,no,cellular,28,jan,411,2,156,8,other,0
202,34,management,married,tertiary,no,47,no,no,cellular,26,may,244,1,-1,0,unknown,0
203,30,management,single,tertiary,no,617,no,no,cellular,27,feb,192,2,-1,0,unknown,1
204,41,technician,married,secondary,no,1602,yes,no,cellular,2,jun,142,1,-1,0,unknown,0
205,52,admin.,married,secondary,no,395,yes,no,unknown,15,may,391,3,-1,0,unknown,0
206,30,unemployed,single,secondary,no,2424,no,no,cellular,15,feb,337,1,95,2,success,1
207,43,self-employed,married,secondary,no,56,yes,no,cellular,8,may,612,3,-1,0,unknown,0
208,62,management,married,tertiary,no,7458,no,no,cellular,30,oct,212,2,-1,0,unknown,1
209,34,technician,single,secondary,no,2583,no,no,cellular,28,aug,64,1,95,2,failure,0
210,27,blue-collar,married,unknown,no,409,yes,no,cellular,18,may,525,1,-1,0,unknown,1
211,36,management,married,tertiary,no,203,no,no,cellular,29,oct,139,1,-1,0,unknown,1
212,55,management,married,tertiary,no,10065,no,no,unknown,27,may,50,3,-1,0,unknown,0
213,56,services,married,secondary,no,467,no,yes,telephone,29,jul,105,8,-1,0,unknown,0
214,33,technician,married,primary,no,5,no,no,unknown,21,may,57,2,-1,0,unknown,0
215,47,management,married,tertiary,no,1884,yes,yes,cellular,19,aug,74,2,-1,0,unknown,0
216,46,technician,married,tertiary,no,31630,no,no,cellular,30,nov,448,2,214,1,failure,0
217,38,blue-collar,married,secondary,no,1407,yes,no,cellular,14,may,169,3,174,7,failure,0
218,29,management,married,tertiary,no,5698,no,no,cellular,15,apr,437,1,264,1,failure,0
219,31,blue-collar,married,secondary,no,1117,yes,no,unknown,28,may,340,3,-1,0,unknown,0
220,36,unemployed,divorced,secondary,no,871,no,no,cellular,12,aug,396,3,-1,0,unknown,1
221,31,technician,single,tertiary,no,56,no,no,unknown,15,may,320,3,-1,0,unknown,0
222,38,admin.,married,secondary,no,3632,yes,yes,cellular,13,may,323,1,-1,0,unknown,0
223,35,management,married,secondary,no,683,no,no,unknown,29,sep,13,1,-1,0,unknown,0
224,41,admin.,married,secondary,no,55,yes,no,unknown,8,may,1120,2,-1,0,unknown,1
225,55,blue-collar,married,primary,no,-268,yes,no,unknown,16,may,160,6,-1,0,unknown,0
226,28,entrepreneur,married,secondary,no,422,yes,no,unknown,19,may,394,2,-1,0,unknown,0
227,45,entrepreneur,married,secondary,no,4688,no,no,cellular,7,jul,112,10,-1,0,unknown,0
228,43,blue-collar,married,primary,no,8,no,no,telephone,7,jul,245,5,-1,0,unknown,0
229,47,admin.,divorced,secondary,no,2232,no,no,cellular,27,may,439,1,103,1,success,1
230,52,management,married,tertiary,no,1356,yes,no,cellular,4,may,312,2,-1,0,unknown,0
231,25,self-employed,single,tertiary,no,42,yes,no,cellular,5,jun,149,1,94,1,success,1
232,31,unemployed,married,secondary,no,314,yes,no,cellular,20,nov,1341,3,178,7,failure,1
233,56,technician,married,secondary,no,2313,yes,no,cellular,8,may,293,3,364,2,failure,0
234,53,admin.,divorced,secondary,no,-394,yes,no,unknown,15,may,599,2,-1,0,unknown,0
235,48,blue-collar,married,unknown,no,2499,no,no,cellular,28,aug,429,3,-1,0,unknown,0
236,58,housemaid,single,secondary,no,11494,no,no,telephone,4,mar,220,7,-1,0,unknown,0
237,31,management,single,tertiary,no,533,no,no,cellular,11,feb,144,1,91,9,success,1
238,63,management,married,tertiary,no,5112,no,no,telephone,13,nov,2184,2,95,3,failure,1
239,37,management,married,tertiary,no,2672,yes,no,cellular,11,aug,549,1,-1,0,unknown,0
240,60,admin.,married,secondary,no,2552,no,yes,cellular,30,jan,255,2,2,4,other,0
241,42,blue-collar,married,primary,no,1532,yes,no,cellular,23,jul,98,3,-1,0,unknown,0
242,36,technician,single,tertiary,no,962,yes,no,cellular,8,may,568,1,-1,0,unknown,1
243,36,blue-collar,married,secondary,no,218,yes,no,cellular,4,may,619,6,-1,0,unknown,1
244,42,technician,divorced,secondary,no,2189,no,no,cellular,16,apr,67,5,149,2,other,0
245,43,technician,married,secondary,no,136,no,no,cellular,25,aug,363,7,-1,0,unknown,1
246,24,student,single,secondary,no,382,no,no,cellular,13,nov,256,2,92,3,failure,1
247,41,entrepreneur,married,tertiary,no,-81,no,yes,unknown,2,jul,83,3,-1,0,unknown,0
248,38,self-employed,single,tertiary,no,605,no,no,telephone,18,jun,1603,10,-1,0,unknown,1
249,47,technician,married,secondary,no,1219,no,no,cellular,18,aug,697,4,-1,0,unknown,1
250,32,technician,single,secondary,no,3586,no,no,cellular,18,aug,71,3,-1,0,unknown,0
251,29,management,divorced,tertiary,no,559,yes,no,cellular,18,may,6,4,-1,0,unknown,0
252,39,management,married,secondary,no,215,no,no,cellular,11,aug,1141,4,-1,0,unknown,1
253,52,services,single,secondary,no,21,yes,no,cellular,28,jul,147,15,-1,0,unknown,0
254,31,entrepreneur,married,primary,no,-98,yes,no,cellular,18,may,9,3,362,7,failure,0
255,42,blue-collar,married,secondary,yes,-204,yes,no,cellular,11,may,34,1,361,7,failure,0
256,70,retired,married,primary,no,3230,no,no,cellular,24,nov,112,1,-1,0,unknown,0
257,41,admin.,married,secondary,no,0,yes,no,unknown,6,may,160,3,-1,0,unknown,0
258,36,admin.,married,secondary,no,234,yes,no,unknown,27,may,219,1,-1,0,unknown,0
259,27,technician,married,tertiary,no,8,yes,yes,cellular,18,may,398,1,370,2,failure,0
260,50,management,married,tertiary,no,5108,yes,no,cellular,18,dec,406,1,182,2,failure,1
261,29,management,married,tertiary,no,1713,yes,no,cellular,4,feb,227,2,-1,0,unknown,0
262,25,admin.,single,secondary,no,304,no,no,unknown,16,may,523,3,-1,0,unknown,0
263,30,management,married,tertiary,no,101,yes,no,cellular,17,nov,348,1,123,1,failure,0
264,46,management,divorced,tertiary,no,624,no,no,cellular,17,sep,336,2,183,2,success,1
265,31,management,single,tertiary,no,147,no,no,cellular,9,jun,163,2,92,3,success,1
266,33,blue-collar,married,primary,no,240,yes,no,unknown,21,may,373,3,-1,0,unknown,0
267,48,blue-collar,divorced,secondary,no,4597,yes,no,cellular,10,jul,285,1,-1,0,unknown,0
268,37,admin.,divorced,secondary,no,295,yes,yes,cellular,11,may,202,3,265,2,failure,0
269,47,management,married,secondary,no,1144,no,yes,cellular,29,jan,324,1,-1,0,unknown,0
270,82,retired,married,primary,no,8603,no,no,cellular,7,jul,429,1,-1,0,unknown,1
271,30,technician,divorced,tertiary,no,317,yes,no,cellular,25,jul,67,5,-1,0,unknown,0
272,44,management,married,tertiary,no,7485,no,no,cellular,5,aug,187,2,-1,0,unknown,0
273,29,management,married,tertiary,no,266,yes,no,cellular,29,jan,103,2,-1,0,unknown,0
274,38,management,married,tertiary,no,1198,yes,no,cellular,3,sep,91,3,213,1,failure,0
275,49,blue-collar,married,secondary,no,2039,yes,no,cellular,6,may,451,1,169,2,failure,1
276,34,management,married,tertiary,no,2594,yes,no,cellular,21,nov,161,3,-1,0,unknown,0
277,59,retired,married,primary,no,0,no,no,cellular,22,aug,347,1,-1,0,unknown,0
278,35,management,married,tertiary,no,62,no,no,cellular,8,feb,469,2,185,2,failure,1
279,80,retired,married,primary,no,1021,no,no,telephone,26,feb,37,1,-1,0,unknown,0
280,37,blue-collar,single,primary,no,7027,no,no,unknown,9,jun,65,1,-1,0,unknown,0
281,75,blue-collar,married,secondary,no,6053,no,no,telephone,5,aug,416,1,-1,0,unknown,0
282,42,management,single,tertiary,yes,0,yes,no,cellular,21,nov,824,1,-1,0,unknown,1
283,45,technician,married,secondary,no,0,yes,yes,telephone,9,jul,74,1,-1,0,unknown,0
284,53,retired,married,tertiary,no,1770,no,no,cellular,29,jan,147,1,-1,0,unknown,0
285,36,entrepreneur,married,primary,no,6317,no,no,unknown,12,jun,478,2,-1,0,unknown,0
286,39,management,single,secondary,no,1877,yes,no,unknown,6,may,185,1,-1,0,unknown,0
287,32,services,single,tertiary,no,1743,yes,no,cellular,1,apr,1156,1,261,3,other,0
288,34,technician,married,secondary,no,1012,yes,yes,telephone,28,oct,540,1,-1,0,unknown,1
289,40,services,divorced,primary,no,471,yes,no,cellular,16,apr,1156,1,345,2,failure,1
290,60,retired,married,primary,no,949,no,yes,telephone,18,jul,239,2,-1,0,unknown,0
291,34,management,married,tertiary,no,0,yes,no,telephone,24,jul,60,1,-1,0,unknown,0
292,26,management,single,tertiary,no,0,no,yes,cellular,2,feb,145,1,199,1,failure,0
293,57,management,married,primary,no,80,no,yes,cellular,31,jul,158,7,-1,0,unknown,0
294,32,admin.,married,tertiary,no,653,no,no,cellular,2,jun,84,1,-1,0,unknown,1
295,45,blue-collar,married,primary,no,789,no,yes,cellular,29,jan,79,1,-1,0,unknown,0
296,51,services,married,secondary,no,5885,yes,no,cellular,15,may,172,1,-1,0,unknown,0
297,30,management,single,tertiary,no,796,no,yes,cellular,26,aug,366,13,-1,0,unknown,0
298,31,services,single,tertiary,no,1025,no,no,unknown,20,may,72,3,-1,0,unknown,0
299,37,management,married,tertiary,no,3556,no,no,cellular,9,nov,268,1,-1,0,unknown,1
300,52,housemaid,married,secondary,no,3034,no,no,unknown,9,jun,206,2,-1,0,unknown,0
